대표식품명,설명,주요_재료,맛_특징,조리_방식,상황_태그
게장,"게장을 신선한 꽃게를 간장이나 고추장 양념에 절여 숙성시킨 한국의 전통 반찬으로, 밥과 함께 먹으면 감칠맛과 짭짤함이 어우러져 깊은 맛을 느낄 수 있습니다. 특히 간장게장과 양념게장 두 가지 종류가 있으며, 각각 특유의 달콤하고 짭짤하거나 매콤한 맛이 특징입니다.","['꽃게', '간장', '고추장', '마늘', '생강', '파', '설탕', '고춧가루', '참기름']","['짭짤한', '감칠맛 나는', '매콤한', '달콤한', '고소한']",절임,"['가족 모임', '밥도둑', '특별한 손님상', '술안주', '스트레스 해소', '기념일', '풍성한 식사']"
감자볶음,"감자를 채 썰어 기름에 볶아 만든 한국의 대표적인 반찬으로, 담백하면서도 고소한 맛이 특징입니다. 간단한 양념으로 누구나 쉽게 조리할 수 있어 밥상에 자주 오르는 친숙한 반찬입니다.","['감자', '식용유', '소금', '파', '참기름']","['담백한', '고소한', '약간 짭짤한', '부드러운 식감']",볶음,"['평범한 저녁 식사', '간단한 반찬', '바쁜 아침', '도시락 반찬', '어린이 간식']"
UNKNOWN,인식할 수 없는 음식 항목입니다. 이미지 분류가 명확하지 않을 때 사용되는 값입니다.,[],[],,"['재촬영 필요', '명확하지 않은 이미지']"
달걀말이,"달걀을 잘 풀어 팬에 얇게 부친 후 여러 겹으로 말아 만든 한국식 계란말이로, 부드럽고 촉촉한 식감과 고소한 맛이 특징입니다. 반찬이나 도시락 반찬으로 자주 활용되며, 간단하면서도 정성스러운 집밥의 대표 메뉴입니다.","['달걀', '소금', '설탕', '당근', '파', '소시지 또는 햄 (선택적)']","['고소한', '부드러운', '약간 단맛', '담백한']",구이,"['도시락 반찬', '간단한 아침 식사', '아이들 간식', '가벼운 술안주', '홈파티', '스트레스 해소']"
달걀부침(달걀후라이),"달걀을 풀어 팬에 부쳐 만든 간단하고 대중적인 한국식 계란 요리로, 노른자가 반숙 또는 완숙 상태로 조리되어 아침 식사나 반찬으로 자주 즐겨집니다.","['달걀', '식용유 또는 버터', '소금']","['고소한', '담백한', '부드러운', '약간 짭짤한']",구이,"['간단한 아침 식사', '빠른 한끼', '혼밥', '추억의 맛', '야식', '스트레스 해소', '아이들 간식']"
곰탕,"곰탕은 소의 뼈와 고기를 오래 끓여 우려낸 맑은 국물 요리로, 깊고 진한 육수 맛이 특징입니다. 고소하고 담백한 맛으로 한국 전통 음식 중 하나이며, 주로 속을 든든하게 채우고 싶을 때 즐겨 먹습니다.","['소 뼈', '소 고기', '파', '마늘', '소금']","['담백한', '고소한', '깊은 맛', '부드러운']",국물 요리,"['속을 든든하게 하고 싶을 때', '추운 겨울', '아침 식사', '회복 음식', '전통 음식', '가족 모임']"
닭볶음(닭갈비),"닭볶음 또는 닭갈비는 닭고기와 각종 채소, 고추장 양념을 함께 볶아 매콤하고 달콤한 맛이 조화를 이루는 한국의 대표적인 볶음 요리입니다. 주로 철판에 볶아내어 쫄깃한 닭고기와 아삭한 채소의 식감이 어우러지며, 밥이나 떡사리와 함께 즐기기 좋습니다.","['닭고기', '고추장', '양배추', '고구마', '떡', '양파', '대파', '당근', '마늘']","['매콤한', '달콤한', '짭짤한', '감칠맛 나는']",볶음,"['친구들과의 모임', '야식', '술안주', '추운 날씨', '스트레스 해소', '활기찬 저녁', '비 오는 날', '빠른 한끼']"
도토리묵무침,"도토리묵을 얇게 썰어 각종 채소와 고추장 양념에 버무려 만든 한국의 전통 무침 요리로, 고소하면서도 상큼하고 매콤한 맛이 특징입니다. 가볍고 담백해 여름철 입맛 돋우는 건강식으로 인기가 많습니다.","['도토리묵', '오이', '당근', '쪽파', '고추장', '참기름', '마늘', '식초', '설탕', '통깨']","['고소한', '매콤한', '상큼한', '담백한']",무침,"['여름철 가벼운 식사', '다이어트 식단', '술안주', '더운 날 입맛 돋우기', '건강 간식', '피크닉', '채식주의자 추천']"
완자전,"완자전은 다진 고기와 각종 채소를 섞어 동그랗게 빚은 후, 밀가루와 계란물을 입혀 노릇하게 부친 한국의 전통 부침 요리입니다. 고기의 풍미와 채소의 식감이 어우러져 고소하고 담백한 맛을 자랑하며, 간단한 안주나 반찬으로 사랑받는 음식입니다.","['다진 돼지고기 또는 소고기', '양파', '두부', '부추', '밀가루', '계란', '마늘', '소금', '후추']","['고소한', '담백한', '촉촉한', '약간 짭짤한']",구이,"['가족 모임', '간단한 술안주', '추억의 맛', '소풍 도시락', '비 오는 날', '친구들과의 홈파티']"
떡만두국,"떡만두국은 얇게 썬 떡과 만두를 맑은 국물에 끓여 만든 한국의 대표적인 국물 요리입니다. 고소하고 담백한 국물과 쫄깃한 떡, 그리고 다양한 재료가 들어간 만두가 어우러져 든든하고 따뜻한 한 끼 식사로 사랑받습니다. 주로 설날과 같은 명절에 즐겨 먹으며, 가족과 함께하는 특별한 날에 자주 등장하는 음식입니다.","['가래떡', '만두', '쇠고기 육수', '계란', '파', '마늘', '국간장']","['담백한', '고소한', '부드러운', '깔끔한']",찌개,"['명절 음식', '따뜻한 아침', '가족 모임', '겨울철', '포근한 기분', '속을 편안하게 하는 식사']"
삼겹살구이,"두툼한 돼지고기 삼겹살을 숯불이나 팬에 구워 겉은 바삭하고 속은 촉촉하게 즐기는 한국의 대표적인 구이 요리. 쌈채소, 마늘, 쌈장과 함께 먹으며 남녀노소 모두에게 사랑받는 인기 있는 식사입니다.","['삼겹살', '소금', '후추', '마늘', '상추', '깻잎', '쌈장']","['고소한', '짭짤한', '담백한', '바삭한']",구이,"['친구들과의 모임', '가족 외식', '주말 저녁', '맥주와 함께', '스트레스 해소', '야외 바비큐', '비오는 날']"
소시지볶음,소시지를 잘게 썰어 각종 채소와 함께 고추장이나 간장 양념으로 빠르게 볶아 만든 한국식 반찬. 간단하면서도 달콤하고 짭짤한 맛이 어우러져 밥반찬이나 도시락 반찬으로 인기가 높습니다.,"['소시지', '양파', '당근', '파프리카', '고추장 또는 간장', '설탕', '참기름']","['달콤한', '짭짤한', '약간 매콤한', '고소한']",볶음,"['빠른 식사', '도시락 반찬', '아이들 간식', '주말 브런치', '스트레스 해소', '맥주안주']"
호박볶음,"얇게 썬 애호박을 기름에 살짝 볶아 소금과 간장 등으로 간을 한 한국의 전통 반찬으로, 아삭하고 부드러운 식감과 은은한 단맛이 조화를 이루는 담백한 반찬입니다.","['애호박', '식용유', '소금', '간장', '다진 마늘', '참기름', '깨소금']","['담백한', '아삭한', '고소한', '은은한 단맛']",볶음,"['가벼운 식사', '건강식', '바쁜 일상 속 빠른 반찬', '가족 식사', '초여름 신선한 반찬']"
닭튀김,"닭튀김은 닭고기에 튀김옷을 입혀 바삭하게 튀긴 한국의 인기 간식이자 안주입니다. 겉은 바삭하고 속은 촉촉한 식감이 특징이며, 맥주와 함께 즐기기에 최적화된 음식입니다.","['닭고기', '밀가루 또는 전분', '계란', '소금', '후추', '식용유']","['바삭한', '짭짤한', '고소한', '담백한']",튀김,"['맥주와 함께', '야식', '친구들과의 모임', '스트레스 해소', '빠른 식사', '운동 경기 관람']"
유부 초밥,"얇게 조리된 유부 주머니에 밥과 다양한 재료를 채워 만든 일본식 초밥으로, 달콤하고 짭짤한 맛이 조화를 이루는 간편하고 맛있는 한입 거리 음식입니다. 가볍게 즐길 수 있어 도시락 반찬이나 간식으로 인기가 많습니다.","['유부 (간장에 조린 두부 껍질)', '초밥용 밥', '참기름', '식초', '설탕', '소금']","['달콤한', '짭짤한', '고소한', '담백한']",조림 및 조립,"['간편한 간식', '도시락 반찬', '소풍', '가벼운 식사', '파티 핑거푸드', '아이들 간식']"
닭찜,"닭고기를 양념과 함께 부드럽게 쪄내어 만든 한국의 전통 음식으로, 촉촉하고 깊은 맛이 특징입니다. 매콤하거나 달콤한 양념이 어우러져 밥과 함께 즐기기에 좋으며, 가족 모임이나 특별한 날에 자주 준비됩니다.","['닭고기', '간장', '고추장', '마늘', '생강', '파', '고춧가루', '설탕 또는 물엿']","['매콤한', '달콤한', '짭짤한', '감칠맛 나는', '부드러운']",찜,"['가족 모임', '명절 음식', '따뜻한 저녁', '스트레스 해소', '술안주', '비오는 날', '특별한 날']"
콩조림(콩자반),"콩조림(콩자반)은 삶은 검은콩이나 서리태콩을 간장과 설탕, 마늘 등으로 조려 만든 한국의 전통 반찬입니다. 달콤짭짤하면서도 부드러운 식감이 특징이며, 밥과 함께 먹으면 고소하고 담백한 맛이 일품입니다. 집밥에서 자주 볼 수 있는 기본 반찬으로, 소박하지만 깊은 맛을 자랑합니다.","['검은콩 또는 서리태콩', '간장', '설탕', '마늘', '참기름', '깨소금']","['달콤한', '짭짤한', '고소한', '부드러운']",조림,"['가정식', '도시락 반찬', '소박한 식사', '건강한 밥상', '간단한 반찬', '아이들 간식', '전통 한식', '바쁜 아침', '따뜻한 밥과 함께']"
오리불고기,"오리고기를 얇게 썰어 달콤하고 짭조름한 양념에 재운 후 불에 구워내는 한국의 전통적인 불고기 요리 중 하나로, 고소하고 담백한 풍미가 특징입니다. 오리 특유의 향과 풍부한 영양소가 어우러져 건강식으로도 인기가 많으며, 쌈채소와 함께 즐기면 더욱 맛있습니다.","['오리 고기', '간장', '설탕 또는 매실액', '마늘', '참기름', '파', '후추']","['달콤한', '짭짤한', '고소한', '담백한', '감칠맛 나는']",구이,"['가족 모임', '건강식', '가을철 별미', '한잔 술과 함께', '바비큐 파티', '스트레스 해소']"
가지볶음,"가지와 다양한 채소를 간장 양념에 볶아 만든 한국의 대표적인 반찬으로, 부드럽고 촉촉한 식감과 짭짤하면서도 감칠맛이 어우러진 맛이 특징입니다. 간단하지만 풍부한 맛을 내어 밥과 함께 즐기기 좋습니다.","['가지', '양파', '대파', '마늘', '간장', '참기름', '통깨']","['짭짤한', '고소한', '감칠맛 나는', '부드러운']",볶음,"['가벼운 한 끼', '빠른 반찬 준비', '건강식', '채소 좋아하는 날', '도시락 반찬', '집밥 느낌']"
갈비구이,"양념한 소갈비나 돼지갈비를 숯불이나 그릴에 구워내는 한국의 전통적인 바비큐 요리로, 달콤하고 짭짤한 양념이 고기에 배어 있어 부드럽고 풍부한 맛을 자랑합니다. 가족 모임이나 명절, 특별한 날에 자주 즐기는 인기 있는 음식입니다.","['소갈비 또는 돼지갈비', '간장', '설탕', '마늘', '참기름', '양파', '배 또는 사과 (양념용)']","['달콤한', '짭짤한', '고소한', '감칠맛 나는', '풍부한']",구이,"['가족 모임', '명절', '친구들과의 바비큐 파티', '소주와 함께', '야외 캠핑', '특별한 날의 만찬']"
갈비찜,"갈비찜은 소갈비를 간장, 설탕, 마늘, 참기름 등으로 만든 양념장에 재운 후 부드럽게 찐 한국의 전통적인 고기 요리입니다. 부드럽고 풍부한 육즙과 달콤짭짤한 양념 맛이 조화를 이루며, 명절이나 특별한 날에 자주 즐겨 먹는 대표적인 한식입니다.","['소갈비', '간장', '설탕', '마늘', '참기름', '대추', '당근', '표고버섯', '파']","['달콤한', '짭짤한', '감칠맛 나는', '부드러운', '풍부한 맛']",찜,"['명절', '가족 모임', '특별한 날', '포근한 밤', '풍성한 식사', '손님 접대']"
갈비탕,"갈비와 각종 채소를 푹 고아 맑고 진한 국물 맛이 일품인 전통 한식 탕 요리입니다. 부드러운 갈비살과 깊은 육수의 조화로 건강식으로도 사랑받으며, 든든한 한 끼 식사로 적합합니다.","['소갈비', '무', '대파', '마늘', '생강', '국간장', '후추']","['담백한', '고소한', '진한', '깔끔한']",탕,"['추운 겨울날', '소중한 가족 모임', '보양식', '기운 회복', '명절 음식', '느긋한 주말 점심']"
갈치구이,"갈치를 손질하여 간단한 양념을 한 뒤 노릇노릇하게 구워낸 한국의 대표적인 생선구이 요리로, 고소하고 담백한 맛이 특징입니다. 바삭한 겉면과 부드러운 속살이 어우러져 남녀노소 누구나 즐기기 좋으며, 밥반찬으로 인기가 높습니다.","['갈치', '소금', '후추', '식용유', '레몬 또는 쪽파(선택사항)']","['담백한', '고소한', '짭짤한', '은은한 단맛']",구이,"['가족 모임', '저녁 식사', '소주 안주', '간단한 한끼', '바다 향기', '건강한 식사', '주말 요리']"
갈치조림,"갈치를 매콤하고 감칠맛 나는 양념과 함께 무, 감자 등과 조려낸 한국 전통 반찬으로, 부드러운 생선살과 양념의 조화가 일품인 가정식 요리입니다.","['갈치', '무', '감자', '고추장', '고춧가루', '간장', '마늘', '생강', '파', '청양고추']","['매운', '짭짤한', '감칠맛 나는', '칼칼한', '약간 달콤한']",조림,"['가족 식사', '비 오는 날', '따뜻한 저녁식사', '밥도둑', '스트레스 해소', '술안주']"
감자전,"감자를 갈아 만든 반죽을 얇게 부쳐 바삭하고 고소한 맛이 일품인 한국의 전통 부침개 요리입니다. 간단한 재료로 누구나 쉽게 만들 수 있으며, 겉은 바삭하고 속은 부드러운 식감이 특징입니다.","['감자', '소금', '식용유']","['고소한', '담백한', '바삭한', '약간 짭짤한']",구이,"['비오는 날', '간식', '술안주', '간단한 한끼', '가족 모임', '스트레스 해소']"
감자조림,"감자를 간장 양념과 함께 졸여 만든 한국의 대표적인 반찬으로, 부드럽고 달콤짭짤한 맛이 어우러진다. 간편하면서도 밥과 잘 어울리는 친숙한 반찬으로, 남녀노소 모두에게 사랑받는다.","['감자', '간장', '설탕', '마늘', '참기름', '통깨', '파']","['달콤한', '짭짤한', '고소한', '부드러운']",조림,"['가정식', '빠른 반찬', '도시락 반찬', '아이들 간식', '소박한 식사', '비오는 날', '밥도둑']"
감자탕,"돼지 등뼈와 감자를 주재료로 하여 푹 고아 만든 한국의 전통 찌개로, 고소하고 진한 국물 맛이 특징입니다. 감자탕은 뼈에 붙은 고기를 함께 즐길 수 있어 든든한 한 끼 식사로 사랑받으며, 특히 해장용이나 술안주로도 인기가 많습니다.","['돼지 등뼈', '감자', '배추 우거지', '대파', '고추가루', '마늘', '된장']","['진한', '고소한', '매콤한', '짭짤한', '구수한']",찌개,"['추운 겨울밤', '해장', '친구들과의 술자리', '스트레스 해소', '든든한 한 끼', '가족 모임']"
갓김치,"갓김치는 갓이라는 채소를 주재료로 하여 새콤하고 매콤하게 담근 한국의 전통 발효 김치입니다. 아삭한 식감과 독특한 풍미가 특징이며, 갓 특유의 알싸한 향과 맛이 입맛을 돋우는 반찬으로 사랑받고 있습니다.","['갓', '고춧가루', '마늘', '생강', '젓갈', '파', '소금', '설탕']","['매운', '새콤한', '짭짤한', '알싸한', '아삭한']",절임 및 발효,"['밥반찬', '전통시장', '여름철 입맛 돋우기', '술안주', '가벼운 식사', '봄철 제철 음식']"
건새우볶음,"바삭하게 볶아 고소한 맛이 특징인 건새우볶음은 한국 반찬으로 자주 즐겨지는 메뉴입니다. 건새우를 간장, 설탕, 마늘 등으로 간을 맞춰 볶아내어 밥과 함께 먹기 좋고, 고소하면서도 감칠맛이 뛰어납니다.","['건새우', '간장', '설탕', '마늘', '참기름', '깨소금']","['고소한', '짭짤한', '달콤한', '감칠맛 나는']",볶음,"['빠른 반찬 준비', '도시락 반찬', '집밥', '간단한 안주', '밥도둑', '소소한 행복', '친구들과의 술자리']"
경단,"경단은 찹쌀가루나 멥쌀가루로 반죽하여 동그랗게 빚은 후 삶거나 찐 한국의 전통 떡입니다. 주로 달콤한 고물이나 팥소를 묻혀서 먹으며, 부드럽고 쫄깃한 식감과 함께 고소하고 달콤한 맛이 조화를 이루는 간식 또는 디저트로 사랑받습니다.","['찹쌀가루', '설탕', '팥소', '콩가루', '깨']","['달콤한', '고소한', '부드러운', '쫄깃한']",삶기,"['명절 음식', '간식 타임', '차와 함께', '어린이 간식', '가족 모임', '소풍 도시락']"
고등어구이,"신선한 고등어에 소금을 뿌려 겉은 바삭하고 속은 촉촉하게 구워낸 한국의 전통적인 생선구이 요리입니다. 고등어 특유의 고소하고 진한 풍미가 일품이며, 밥 반찬으로 인기가 많습니다.","['고등어', '소금', '식용유 또는 참기름']","['짭짤한', '고소한', '담백한', '약간의 기름진 맛']",구이,"['가벼운 저녁식사', '가족 식사', '집밥 느낌', '가성비 좋은 한끼', '소주와 함께', '봄철 입맛 돋우기']"
고등어조림,"고등어를 매콤하고 달콤한 양념장과 함께 무, 감자 등과 조려내어 만든 한국 전통 반찬으로, 고등어의 고소한 맛과 양념의 풍부한 맛이 어우러진 인기 있는 가정식 메뉴입니다.","['고등어', '무', '감자', '고춧가루', '간장', '마늘', '생강', '파', '설탕', '청양고추']","['매콤한', '달콤한', '짭짤한', '감칠맛 나는', '고소한']",조림,"['가족 식사', '비오는 날', '소주와 함께', '든든한 한끼', '스트레스 해소', '집밥이 그리울 때']"
고사리나물,"고사리 나물은 삶은 고사리를 간장, 마늘, 참기름 등으로 양념하여 볶거나 무친 한국의 전통 반찬입니다. 부드럽고 쫄깃한 식감과 고소한 맛이 특징이며, 주로 밥과 함께 곁들여 먹습니다. 명절이나 제사상에도 빠지지 않는 대표적인 나물 반찬입니다.","['고사리', '간장', '마늘', '참기름', '소금', '파']","['고소한', '짭짤한', '담백한', '쫄깃한']",볶음,"['명절 음식', '건강식', '집밥', '반찬 만들기', '편안한 식사', '전통 한식']"
고추튀김,고추튀김은 매콤한 청양고추나 일반 고추에 튀김옷을 입혀 바삭하게 튀긴 한국의 길거리 음식 또는 반찬입니다. 겉은 바삭하고 속은 매콤한 고추의 풍미가 살아 있어 간단하면서도 중독성 있는 맛을 자랑합니다.,"['청양고추 또는 일반 고추', '튀김가루 또는 밀가루', '물', '기름']","['매운', '바삭한', '고소한', '짭짤한']",튀김,"['맥주 안주', '간단한 간식', '야식', '스트레스 해소', '친구들과 모임', '비오는 날', '길거리 음식']"
곱창구이,곱창구이는 소나 돼지의 창자를 깨끗이 손질한 후 양념에 재워 숯불이나 팬에서 구워내는 한국의 인기 있는 구이 요리입니다. 고소한 맛과 쫄깃한 식감이 어우러져 술안주나 식사로 즐기기에 좋습니다.,"['소곱창 또는 돼지막창', '양념장 (고추장, 고춧가루, 마늘 등)', '파', '양파']","['고소한', '짭짤한', '매콤한', '쫄깃한']",구이,"['술안주', '친구들과의 모임', '야외 바비큐', '스트레스 해소', '밤참', '소주와 함께']"
곱창전골,"곱창전골은 소의 곱창과 다양한 채소, 버섯 등을 얼큰하고 진한 육수에 끓여내는 한국 전통 전골 요리입니다. 곱창의 고소함과 육수의 깊은 맛이 어우러져 쫄깃한 식감과 풍부한 감칠맛을 자랑하며, 추운 날씨에 몸을 따뜻하게 해주는 인기 메뉴입니다.","['소 곱창', '양파', '대파', '버섯(느타리, 팽이 등)', '청양고추', '두부', '당면', '배추', '마늘']","['얼큰한', '고소한', '진한 맛', '감칠맛', '짭짤한']",찌개,"['비오는 날', '추운 겨울밤', '친구들과의 모임', '술안주', '스트레스 해소', '활력 충전']"
김밥,"밥과 다양한 재료를 김으로 감싸 돌돌 말아 만든 한국의 대표적인 간편 음식. 간편하게 들고 다니며 먹을 수 있어 소풍, 간식, 도시락으로 인기가 많으며, 각종 재료의 조화로운 맛과 식감이 특징입니다.","['밥', '김', '단무지', '맛살', '계란', '시금치', '당근', '우엉']","['고소한', '짭짤한', '담백한', '아삭한', '감칠맛 나는']",말이 (롤),"['소풍', '간편한 식사', '도시락', '야외 활동', '간식', '친구와의 모임', '바쁜 아침']"
김치전,잘 익은 김치를 잘게 썰어 밀가루 반죽에 섞어 팬에 부쳐낸 한국의 전통 부침개. 바삭하면서도 쫄깃한 식감과 김치의 매콤하고 새콤한 맛이 어우러져 간단하지만 깊은 맛을 자랑하는 대표적인 안주 및 간식입니다.,"['묵은 김치', '밀가루', '물', '파', '식용유']","['매운', '짭짤한', '새콤한', '바삭한', '담백한']",구이,"['비오는 날', '친구들과 술자리', '간단한 간식', '스트레스 해소', '빠른 한 끼', '집들이', '야식']"
김치찌개,"묵은 김치와 돼지고기, 두부 등을 넣고 끓여 만든 한국의 전통 찌개로, 칼칼하고 깊은 맛이 특징입니다. 다양한 재료가 어우러져 풍부한 맛을 내며, 한국 가정과 식당에서 즐겨 먹는 대표적인 한식입니다.","['묵은 김치', '돼지고기', '두부', '파', '마늘', '고춧가루']","['매운', '짭짤한', '깊은 맛', '칼칼한', '구수한']",찌개,"['비 오는 날', '추운 겨울', '해장', '가족 모임', '스트레스 해소', '빠른 한 끼', '소주 안주']"
김치찜,"김치를 주재료로 하여 돼지고기와 함께 푹 익혀 만드는 한국 전통 찜 요리로, 김치의 깊은 맛과 고기의 고소함이 어우러져 진하고 풍부한 맛을 자랑합니다. 부드럽고 촉촉한 식감과 함께 매콤하고 짭짤한 맛이 특징이며, 한 끼 식사로 든든하게 즐길 수 있는 음식입니다.","['묵은지 김치', '돼지고기 (삼겹살 또는 목살)', '두부', '대파', '마늘', '고춧가루']","['매운', '짭짤한', '진한', '고소한', '감칠맛 나는']",찜,"['추운 겨울날', '가족 모임', '든든한 한끼', '술안주', '스트레스 해소', '비오는 날']"
깍두기,"깍두기는 무를 큼직하게 깍둑썰기하여 고춧가루, 마늘, 생강, 젓갈 등과 함께 발효시킨 한국의 대표적인 김치 종류 중 하나입니다. 아삭아삭한 식감과 시원하면서도 매콤한 맛이 특징이며, 밥과 함께 곁들이거나 다양한 한식 요리에 잘 어울립니다.","['무', '고춧가루', '마늘', '생강', '젓갈', '파', '소금']","['아삭한', '매운', '시원한', '짭짤한', '발효된']",발효,"['비오는 날', '밥반찬', '해장', '스트레스 해소', '가족 식사', '소주와 함께']"
깻잎장아찌,"깻잎을 간장과 다양한 양념에 절여 만든 한국의 전통 반찬으로, 아삭하면서도 짭짤하고 향긋한 맛이 특징입니다. 밥과 함께 먹거나 고기 요리의 곁들임으로 사랑받으며, 간단하지만 깊은 맛을 내는 장아찌입니다.","['깻잎', '간장', '설탕', '식초', '마늘', '고추', '참기름']","['짭짤한', '향긋한', '새콤한', '살짝 매운', '아삭한']",절임,"['밥반찬', '소주 안주', '가벼운 식사', '야외 나들이', '집들이 선물', '한식 곁들이기']"
꼬막찜,"꼬막을 신선한 상태로 데쳐서 만든 한국의 대표적인 해산물 요리로, 고소하고 쫄깃한 식감과 바다의 향이 살아있는 별미입니다. 주로 초고추장이나 간장 양념과 함께 제공되며, 간단하면서도 깊은 맛을 즐길 수 있습니다.","['꼬막', '물', '소금', '초고추장 또는 간장 양념', '파', '마늘', '참기름']","['고소한', '짭짤한', '신선한', '감칠맛 나는', '쫄깃한']",찜,"['여름철 별미', '해산물 애호가', '가벼운 술안주', '가족 모임', '바다 여행', '시원한 맥주와 함께']"
