unmatched_class,candidate_대표식품명,similarity_score
간장게장,게장,90.0
간장게장,장떡,60.00000000000001
간장게장,쌈장,60.00000000000001
간장게장,간자장,57.14285714285714
간장게장,꽃게장,57.14285714285714
감자채볶음,감자,90.0
감자채볶음,감자볶음,88.88888888888889
감자채볶음,볶음밥,72.0
감자채볶음,감자국,72.0
감자채볶음,감자탕,72.0
계란국,계란 덮밥,72.0
계란국,토란국,66.66666666666667
계란국,계란빵,66.66666666666667
계란국,국밥,60.00000000000001
계란국,국수,60.00000000000001
계란말이,계란빵,57.14285714285714
계란말이,묵말이,57.14285714285714
계란말이,달걀말이,50.0
계란말이,무말랭이무침,45.0
계란말이,수란,45.0
계란찜,계란 덮밥,72.0
계란찜,계란빵,66.66666666666667
계란찜,명란찜,66.66666666666667
계란찜,닭찜,60.00000000000001
계란찜,복찜,60.00000000000001
계란후라이,라볶이,72.0
계란후라이,계란빵,72.0
계란후라이,달걀부침(달걀후라이),60.00000000000001
계란후라이,달걀후라이,60.0
계란후라이,베이글,45.0
고추장진미채볶음,고추장볶음,76.92307692307692
고추장진미채볶음,볶음밥,72.0
고추장진미채볶음,햄볶음,72.0
고추장진미채볶음,볶음면,72.0
고추장진미채볶음,고추전,72.0
곰탕_설렁탕,곰탕,90.0
곰탕_설렁탕,설렁탕,90.0
곰탕_설렁탕,닭곰탕,72.0
곰탕_설렁탕,알탕,60.00000000000001
곰탕_설렁탕,소탕,60.00000000000001
과메기,메기 매운탕,72.0
과메기,메기찜,66.66666666666667
과메기,과일,60.00000000000001
과메기,견과,60.00000000000001
과메기,약과,60.00000000000001
김치볶음밥,김치 볶음밥,90.9090909090909
김치볶음밥,볶음밥,90.0
김치볶음밥,김치볶음,88.88888888888889
김치볶음밥,김치국,72.0
김치볶음밥,김치전,72.0
꽈리고추무침,부추무침,77.14285714285715
꽈리고추무침,꽈리고추찜,72.72727272727273
꽈리고추무침,굴무침,72.0
꽈리고추무침,김무침,72.0
꽈리고추무침,묵무침,72.0
닭갈비,닭볶음(닭갈비),90.0
닭갈비,소갈비 구이,68.4
닭갈비,갈비탕,66.66666666666667
닭갈비,갈비찜,66.66666666666667
닭갈비,떡갈비,66.66666666666667
닭계장,닭죽,60.00000000000001
닭계장,닭찜,60.00000000000001
닭계장,게장,60.00000000000001
닭계장,장떡,60.00000000000001
닭계장,쌈장,60.00000000000001
도라지무침,도라지나물무침,83.33333333333334
도라지무침,굴무침,72.0
도라지무침,김무침,72.0
도라지무침,묵무침,72.0
도라지무침,파무침,72.0
도토리묵,도토리묵무침,90.0
도토리묵,양념 도토리묵,90.0
도토리묵,도넛,60.00000000000001
도토리묵,묵국,60.00000000000001
도토리묵,묵밥,60.00000000000001
동그랑땡,우동,60.00000000000001
동그랑땡,스크램블드에그,36.0
동그랑땡,동태양념구이,36.0
동그랑땡,동태 매운탕,36.0
동그랑땡,동태국,28.57142857142857
떡국_만두국,떡국,90.0
떡국_만두국,만두,90.0
떡국_만두국,만두국,90.0
떡국_만두국,떡만두국,80.0
떡국_만두국,두부국,72.0
떡꼬치,돼지고기 꼬치구이,68.4
떡꼬치,채소 꼬치구이,68.4
떡꼬치,꿀떡,60.00000000000001
떡꼬치,호떡,60.00000000000001
떡꼬치,떡국,60.00000000000001
멍게,게살죽,60.00000000000001
멍게,게국지,60.00000000000001
멍게,게조림,60.00000000000001
멍게,게맛살튀김,60.00000000000001
멍게,게장,50.0
보쌈,보쌈김치,90.0
보쌈,보리밥,60.00000000000001
보쌈,월남쌈,60.00000000000001
보쌈,보신탕,60.00000000000001
보쌈,쌈장,50.0
북엇국,북어국,66.66666666666667
북엇국,국밥,60.00000000000001
북엇국,국수,60.00000000000001
북엇국,떡국,60.00000000000001
북엇국,굴국,60.00000000000001
불고기,오리불고기,90.0
불고기,불고기전골,90.0
불고기,돼지불고기,90.0
불고기,오징어불고기,90.0
불고기,오리 간장불고기,90.0
산낙지,낙지 덮밥,72.0
산낙지,낙지 비빔밥,72.0
산낙지,낙지탕(맑은탕),72.0
산낙지,낙지 삼겹살 볶음,72.0
산낙지,낙지탕,66.66666666666667
삼겹살,삼겹살구이,90.0
삼겹살,삼겹살볶음,90.0
삼겹살,주꾸미삼겹살,90.0
삼겹살,낙지 삼겹살 볶음,90.0
삼겹살,오겹살구이,60.00000000000001
새우볶음밥,볶음밥,90.0
새우볶음밥,새우볶음,88.88888888888889
새우볶음밥,건새우볶음,80.0
새우볶음밥,새우탕,72.0
새우볶음밥,새우젓,72.0
소세지볶음,소시지볶음,80.0
소세지볶음,세발낙지볶음,72.72727272727273
소세지볶음,볶음밥,72.0
소세지볶음,햄볶음,72.0
소세지볶음,볶음면,72.0
수정과,국수,60.00000000000001
수정과,수육,60.00000000000001
수정과,빙수,60.00000000000001
수정과,과일,60.00000000000001
수정과,견과,60.00000000000001
시래기국,시래기나물무침,77.14285714285715
시래기국,시래기 된장국,77.14285714285715
시래기국,시래기나물,66.66666666666667
시래기국,국밥,60.00000000000001
시래기국,국수,60.00000000000001
애호박볶음,애호박 볶음,90.9090909090909
애호박볶음,호박볶음,88.88888888888889
애호박볶음,호박고지볶음,72.72727272727273
애호박볶음,볶음밥,72.0
애호박볶음,햄볶음,72.0
양념게장,게장,90.0
양념게장,고춧가루 양념장,77.14285714285715
양념게장,양념초장,75.0
양념게장,장떡,60.00000000000001
양념게장,양념 돼지고기튀김,60.00000000000001
양념치킨,양념채김치,66.66666666666667
양념치킨,치킨데리야끼,60.00000000000001
양념치킨,양념 돼지고기튀김,60.00000000000001
양념치킨,양념 도토리묵,60.00000000000001
양념치킨,양념 바지락젓,60.00000000000001
열무국수,국수,90.0
열무국수,무국,90.0
열무국수,수육,60.00000000000001
열무국수,빙수,60.00000000000001
열무국수,수란,60.00000000000001
유부초밥,초밥,90.0
유부초밥,유부 초밥,88.88888888888889
유부초밥,국밥,60.00000000000001
유부초밥,김밥,60.00000000000001
유부초밥,덮밥,60.00000000000001
젓갈,갈비탕,60.00000000000001
젓갈,갈치찌개,60.00000000000001
젓갈,갈비찜,60.00000000000001
젓갈,갈비구이,60.00000000000001
젓갈,갈치구이,60.00000000000001
찜닭,닭곰탕,60.00000000000001
찜닭,가오리찜,60.00000000000001
찜닭,갈비찜,60.00000000000001
찜닭,깻잎찜,60.00000000000001
찜닭,꼬막찜,60.00000000000001
콩자반,콩조림(콩자반),90.0
콩자반,콩밥,60.00000000000001
콩자반,피자,45.0
콩자반,콩비지찌개,45.0
콩자반,감자,45.0
편육,육개장,60.00000000000001
편육,탕수육,60.00000000000001
편육,기피편,60.00000000000001
편육,모싯잎송편,60.00000000000001
편육,동파육,60.00000000000001
한과,과ㆍ채주스,60.00000000000001
한과,매작과,60.00000000000001
한과,과일샐러드,60.00000000000001
한과,과일,50.0
한과,견과,50.0
후라이드치킨,라볶이,60.00000000000001
후라이드치킨,에이드,60.00000000000001
후라이드치킨,치킨가스,60.00000000000001
후라이드치킨,달걀후라이,54.54545454545454
후라이드치킨,달걀부침(달걀후라이),54.0
